414	"anesthetic"	5.48	2.27	21	3.23	1.82	22
415	"aneurysm"	2.5	1.79	20	5.38	2.33	21
416	"angel"	7.71	1.85	41	4.24	2.85	42
417	"angelic"	6.68	2.52	19	4.27	2.45	22
418	"anger"	2.5	1.36	20	5.93	2.77	43
419	"angina"	2.85	1.69	20	4.72	2.89	18
420	"angiogram"	4.19	1.83	21	3.61	2.68	23
421	"angle"	4.55	1.28	20	3.22	2.24	18
422	"angora"	5.63	2.24	19	2.95	1.56	22
423	"angry"	2.53	1.74	19	6.2	2.57	20
424	"angst"	3.5	1.7	20	5.76	2.55	21
425	"anguish"	3.14	1.77	21	5.41	2.72	22
426	"anguished"	2.78	1.46	41	4.79	2.54	43
427	"animal"	7.06	1.95	18	4.3	2.7	20
428	"animated"	6.65	1.79	20	5.77	2.29	22
429	"animation"	6.42	1.12	19	5.52	2.84	21
430	"animosity"	3.4	1.88	20	5.83	2.28	18
431	"ankle"	5.4	1.9	20	3.11	1.94	18
432	"anklet"	4.75	1.37	20	3.57	1.97	23
433	"annals"	4.8	0.83	20	2.6	2.21	20
434	"annex"	4.41	1.05	22	4	2.49	23
435	"annihilate"	3.15	1.73	20	6.44	2.53	18
436	"annihilation"	2.58	1.87	19	5.52	2.54	21
437	"anniversary"	6.95	2.03	22	4	2.68	21
438	"announce"	5.52	1.33	21	3.65	2.66	20
439	"announcement"	5.81	1.4	21	4.3	2.81	20
440	"announcer"	5.84	1.5	19	4.5	2.7	22
441	"annoy"	2.49	1.42	41	5.04	2.4	23
442	"annoyance"	2.95	1.23	20	4.1	2.59	20
443	"annoyed"	2.8	1.2	20	5.29	2.53	21
444	"annoying"	3	1.71	18	5.55	2.04	20
445	"annual"	5.19	1.97	21	3.7	1.84	23
446	"annul"	3.83	2.15	23	4.23	2.31	22
447	"annulment"	4.05	1.99	20	4.14	2.34	22
448	"anointed"	4.79	2.27	19	3.32	2.08	22
449	"anomaly"	4.84	1.74	19	4.25	2.45	20
450	"anonymity"	4.81	2.02	21	3.29	1.82	21
451	"anonymous"	5.75	1.65	20	4.13	2.2	23
452	"anorexic"	2.71	2.08	21	4.24	2.39	21
453	"answer"	6.1	1.41	39	4	2.89	43
454	"ant"	3.9	1.14	21	3.27	2.39	22
455	"antagonistic"	4.32	1.57	19	4.11	2.52	18
456	"antagonize"	3.15	1.35	20	4.95	2.11	20
457	"antelope"	5.68	1.46	22	4.46	2.72	26
458	"antenna"	5.43	1.25	21	3.15	2.11	20
459	"anterior"	4.89	1.82	19	3.36	2.34	22
460	"anthem"	5.95	1.43	20	4.48	2.27	21
461	"anthill"	4.32	1.86	22	4.63	2.17	19
462	"anthrax"	2.32	0.89	19	4.72	2.47	18
463	"anthropological"	5.53	1.9	19	3.82	2.42	22
464	"anthropologist"	5.7	1.22	20	3.27	2.33	22
465	"anthropology"	5.3	1.87	20	2.91	2.15	23
466	"anti"	4.47	1.98	19	4.23	2.52	22
467	"antiaircraft"	4.85	2.13	20	4.6	2.27	25
468	"antibiotic"	5.88	1.94	24	4.05	2.16	21
469	"antibiotics"	5.05	1.73	20	4.05	2.32	22
470	"antichrist"	2.36	1.79	22	5.58	2.4	26
471	"anticipate"	6	1.26	20	5.7	2	20
472	"anticipation"	5.26	1.66	19	5.39	2.55	18
473	"antics"	3.95	1.43	19	5.1	2.17	21
474	"antidote"	6.55	2.31	20	3.24	2.05	21
475	"antigravity"	5.74	1.76	19	5.1	2.65	20
476	"antiquated"	5	1.61	21	4.95	2.74	20
477	"antique"	6.5	1.93	20	4	2.35	25
478	"antiques"	6.63	2.29	19	3.68	2.71	22
479	"antiseptic"	4.57	1.69	21	3.15	2.03	20
480	"antisocial"	3.21	1.62	19	5.32	2.12	22
481	"antsy"	4.36	1.76	22	5.23	2.72	22
482	"anus"	2.9	1.62	20	4.39	2.33	18
483	"anvil"	5.05	0.94	20	4.4	2.11	20
484	"anxiety"	2.38	1.66	21	4.78	2.89	23
485	"anxious"	3.8	1.42	40	6.2	2.36	44
486	"anytime"	5.81	1.6	21	4.6	2.46	20
487	"aorta"	4.35	1.57	20	3.64	1.59	22
488	"aortic"	4.25	1.37	20	3.5	2.56	16
489	"apache"	5.2	1.51	20	3.7	2.13	20
490	"apartment"	5.72	2.35	18	3.8	2.76	20
491	"apartments"	5	1.73	19	3.28	1.99	18
492	"apathy"	3.68	1.7	19	3.8	2.21	20
